"","state","week","trump_avg","clinton_avg","weeks","year","date_week"
"1","U.S.","2016-01",40.1536153333333,41.5222173333333,"01",2016,2016-01-04
"2","U.S.","2016-02",37.5187862962963,43.4944722222222,"02",2016,2016-01-11
"3","U.S.","2016-03",40.6991253333333,42.2451826666667,"03",2016,2016-01-18
"4","U.S.","2016-04",35.8857276190476,44.2375128571429,"04",2016,2016-01-25
"5","U.S.","2016-05",38.6547366666667,43.883753,"05",2016,2016-02-01
"6","U.S.","2016-06",37.132769047619,42.6562271428571,"06",2016,2016-02-08
"7","U.S.","2016-07",41.0635138461538,43.46234,"07",2016,2016-02-15
"8","U.S.","2016-08",40.1978485185185,42.9872581481482,"08",2016,2016-02-22
"9","U.S.","2016-09",38.1120903030303,44.3042303030303,"09",2016,2016-02-29
"10","U.S.","2016-10",37.5363988888889,43.0686314814815,"10",2016,2016-03-07
"11","U.S.","2016-11",41.0818497222222,42.7832605555556,"11",2016,2016-03-14
"12","U.S.","2016-12",40.2669878431373,45.1905321568627,"12",2016,2016-03-21
"13","U.S.","2016-13",37.9000971794872,44.9151507692308,"13",2016,2016-03-28
"14","U.S.","2016-14",34.9158814285714,42.5284242857143,"14",2016,2016-04-04
"15","U.S.","2016-15",39.0919005128205,46.3306330769231,"15",2016,2016-04-11
"16","U.S.","2016-16",38.5358016666667,45.17889,"16",2016,2016-04-18
"17","U.S.","2016-17",40.2234921428571,44.0466438095238,"17",2016,2016-04-25
"18","U.S.","2016-18",39.7296585185185,45.4965659259259,"18",2016,2016-05-02
"19","U.S.","2016-19",42.4696180952381,42.9777892857143,"19",2016,2016-05-09
"20","U.S.","2016-20",42.7666741666667,43.7198616666667,"20",2016,2016-05-16
"21","U.S.","2016-21",40.46694,43.4648451515151,"21",2016,2016-05-23
"22","U.S.","2016-22",40.5630833333333,45.6743072916667,"22",2016,2016-05-30
"23","U.S.","2016-23",37.5212497222222,44.6129047222222,"23",2016,2016-06-06
"24","U.S.","2016-24",38.8546717647059,45.8761064705882,"24",2016,2016-06-13
"25","U.S.","2016-25",40.4808910416667,47.0039247916667,"25",2016,2016-06-20
"26","U.S.","2016-26",41.3045163157895,45.6500910526316,"26",2016,2016-06-27
"27","U.S.","2016-27",41.111995,45.5085633333333,"27",2016,2016-07-04
"28","U.S.","2016-28",40.9593814583333,44.7754908333333,"28",2016,2016-07-11
"29","U.S.","2016-29",43.5543926470588,44.222952745098,"29",2016,2016-07-18
"30","U.S.","2016-30",43.2125763218391,44.9346608045977,"30",2016,2016-07-25
"31","U.S.","2016-31",42.1050777777778,46.6545922222222,"31",2016,2016-08-01
"32","U.S.","2016-32",42.1248151282051,46.1483144444444,"32",2016,2016-08-08
"33","U.S.","2016-33",42.239305042735,45.7105420512821,"33",2016,2016-08-15
"34","U.S.","2016-34",42.6506638596491,45.3729105263158,"34",2016,2016-08-22
"35","U.S.","2016-35",42.7917845945946,44.6483367567568,"35",2016,2016-08-29
"36","U.S.","2016-36",42.7406019607843,44.7125128431373,"36",2016,2016-09-05
"37","U.S.","2016-37",43.4386895121951,44.6471470731707,"37",2016,2016-09-12
"38","U.S.","2016-38",43.2506904255319,44.8526325531915,"38",2016,2016-09-19
"39","U.S.","2016-39",43.2662337037037,45.1398664444444,"39",2016,2016-09-26
"40","U.S.","2016-40",42.9663528888889,44.9614291851852,"40",2016,2016-10-03
"41","U.S.","2016-41",42.224672585034,45.1982721088435,"41",2016,2016-10-10
"42","U.S.","2016-42",42.5710231481482,44.9149687037037,"42",2016,2016-10-17
"43","U.S.","2016-43",42.8518404232804,45.1586797354497,"43",2016,2016-10-24
"44","U.S.","2016-44",42.6832833333333,45.2347193229167,"44",2016,2016-10-31
"45","U.S.","2016-45",42.5271555555556,45.2811161111111,"45",2016,2016-11-07
"46","U.S.","2016-46",44.7388855555556,43.5655911111111,"46",2016,2016-11-14
