"","after$trump_avg - before$trump_avg","V2","V3"
"1",0.388373333333334,"New York",24
"11",NA,"District of Columbia",12
"12",NA,"District of Columbia",17
"13",-0.332008333333334,"New Hampshire",24
"14",0.388373333333334,"New York",25
"15",9.35403666666667,"Virginia",28
"16",-1.30259166666666,"New York",28
"17",0.389233333333337,"Ohio",29
"18",0.877949999999998,"Florida",30
"19",-4.93338,"Wisconsin",31
"110",4.071225,"Michigan",32
"111",-1.78745722222222,"North Carolina",32
"112",1.67455916666667,"Pennsylvania",32
"113",0.0257124999999974,"Ohio",33
"114",1.8733525,"Wisconsin",33
"115",3.26901933333334,"North Carolina",33
"116",6.13672666666666,"Michigan",33
"117",-1.64059722222222,"Texas",34
"118",-2.19690888888888,"Mississippi",34
"119",2.178225,"Washington",35
"120",0.463797777777778,"Arizona",35
"121",0.531764166666669,"Ohio",35
"122",0.531764166666669,"Ohio",35
"123",-2.06723777777778,"Michigan",35
"124",0.263581333333335,"North Carolina",36
"125",-1.18887444444444,"Pennsylvania",36
"126",-0.201926,"Ohio",36
"127",6.07863,"District of Columbia",36
"128",1.42585066666666,"Florida",36
"129",1.14104888888889,"Maryland",37
"130",-0.422897685185184,"North Carolina",37
"131",0.715904166666668,"Pennsylvania",37
"132",1.860205,"Iowa",37
"133",-0.778131111111115,"Ohio",37
"134",0.635579444444446,"New York",37
"135",-0.381345619047615,"Florida",37
"136",3.45012250000001,"Texas",37
"137",-0.919846111111113,"North Carolina",38
"138",0.824571777777777,"Pennsylvania",38
"139",0.824571777777777,"Pennsylvania",38
"140",0.159358444444443,"Virginia",38
"141",-3.12334083333333,"Iowa",39
"142",1.96251825396826,"Wisconsin",39
"143",-6.34563933333334,"New Hampshire",39
"144",-4.67581027777777,"Michigan",39
"145",-2.36060433333333,"Colorado",40
"146",-2.36060433333333,"Colorado",40
"147",-1.10186,"Arizona",40
"148",-0.125678370370373,"Nevada",40
"149",-0.125678370370373,"Nevada",40
"150",-0.815753939393936,"Florida",41
"151",-0.815753939393936,"Florida",41
"152",-0.815753939393936,"Florida",41
"153",1.91598912698413,"Ohio",41
"154",3.11289733333334,"New Hampshire",41
"155",3.43270416666667,"Maine",41
"156",1.09222648148148,"Colorado",42
"157",0.80065890476191,"Ohio",42
"158",0.150043842592595,"North Carolina",42
"159",-0.240372777777779,"Pennsylvania",42
"160",-0.240372777777779,"Pennsylvania",42
"161",0.0252711801242214,"Florida",42
"162",-0.562055749999999,"North Carolina",43
"163",-1.80948461352657,"Ohio",43
"164",1.21809590804597,"New Hampshire",43
"165",-0.299454603174603,"Colorado",43
"166",1.71002286549708,"Arizona",43
"167",-0.0128183333333354,"Michigan",44
"168",-0.282397222222222,"Pennsylvania",44
"169",-0.31233594202898,"Florida",44
"170",-0.31233594202898,"Florida",44
"171",1.82825041666666,"North Carolina",45
"172",NA,"New York",45
